LINK_ID,AVG_DAILY_TOTAL_COUNT,MAX_DAILY_TRAFFIC,PERCENTILE
1096893,27.172131147540984,46,0.01
1096894,53.81967213114754,75,0.01
1096895,7.581967213114754,19,0.00
1096896,40.40163934426229,58,0.01
1096898,40.08196721311475,76,0.01
1096899,12.237704918032787,24,0.00
1096900,7.785123966942149,16,0.00
1096901,52.778688524590166,93,0.01
1096902,9.655462184873949,30,0.00
1096903,5.412280701754386,13,0.00
1096904,31.262295081967213,58,0.01
1096905,1.9577464788732395,5,0.00
1096906,17.450819672131146,29,0.00
1096907,22.614754098360656,37,0.00
1096908,63.68032786885246,107,0.01
1096909,16.983606557377048,27,0.00
1096910,25.549180327868854,43,0.01
1096911,28.40983606557377,44,0.01
1096912,32.885245901639344,46,0.01
1096914,21.491803278688526,37,0.00
1096915,8.565573770491802,25,0.00
1096916,10.385245901639344,19,0.00
1096917,31.959016393442624,47,0.01
1096920,14.084745762711865,32,0.00
1096921,50.049180327868854,83,0.01
1096922,29.081967213114755,55,0.01
1096923,24.508196721311474,44,0.01
1096924,26.475409836065573,50,0.01
1096925,28.081967213114755,58,0.01
1096926,12.305785123966942,27,0.00
1096927,16.24590163934426,32,0.00
1096928,49.4344262295082,81,0.01
1096929,38.549180327868854,70,0.01
1096934,67.00819672131148,112,0.01
1096944,4.016393442622951,8,0.00
1096945,4.655737704918033,14,0.00
1096946,105.30327868852459,163,0.02
1096947,26.516393442622952,46,0.01
1096948,20.40983606557377,42,0.00
1096949,2.4017094017094016,9,0.00
1096950,2.3195876288659796,7,0.00
1096955,1.411764705882353,4,0.00
1096956,1.3548387096774193,3,0.00
1096957,2.543859649122807,7,0.00
1096958,1.6477272727272727,6,0.00
1096959,13.327868852459016,29,0.00
1096960,14.37704918032787,23,0.00
1096961,20.459016393442624,39,0.00
1096962,9.621848739495798,19,0.00
1096963,8.512820512820513,20,0.00
1096964,46.967213114754095,71,0.01
1096967,56.65573770491803,92,0.01
1096968,30.34426229508197,52,0.01
1096969,7.305084745762712,16,0.00
1096970,27.958333333333332,55,0.01
1096972,301.7950819672131,468,0.06
1096973,270.08196721311475,422,0.06
1096974,3.163265306122449,9,0.00
1096975,9.983333333333333,27,0.00
1096976,62.32786885245902,109,0.01
